orderdate,total_qtd_product,unitprice_product,productmodel_name,standardcost_product,listprice_product,daystomanufature_product,product_line,product_class,product_style,name_store,countryregioncode
2011-05-31,3,5.1865,Cycling Cap,6.9223,8.99,0,undefined,undefined,undefined,Outdoor Sporting Goods,United States
2011-05-31,12,5.1865,Cycling Cap,6.9223,8.99,0,undefined,undefined,undefined,Petroleum Products Distributors,others
2011-05-31,8,5.1865,Cycling Cap,6.9223,8.99,0,undefined,undefined,undefined,Quick Parts and Service,others
2011-05-31,5,5.1865,Cycling Cap,6.9223,8.99,0,undefined,undefined,undefined,Racing Supply Distributors,others
2011-05-31,5,5.1865,Cycling Cap,6.9223,8.99,0,undefined,undefined,undefined,Reliable Brake Systems,United States
2011-05-31,2,5.1865,Cycling Cap,6.9223,8.99,0,undefined,undefined,undefined,The Bicycle Accessories Company,United States
2011-05-31,10,5.1865,Cycling Cap,6.9223,8.99,0,undefined,undefined,undefined,Tread Industries,United States
2011-05-31,5,722.5949,HL Mountain Frame,747.2002,1364.5,2,undefined,undefined,undefined,Quick Parts and Service,others
2011-05-31,1,714.7043,HL Mountain Frame,739.041,1349.6,2,undefined,undefined,undefined,Racing Supply Distributors,others
2011-05-31,4,722.5949,HL Mountain Frame,747.2002,1364.5,2,undefined,undefined,undefined,Reliable Brake Systems,United States
2011-05-31,3,178.5808,LL Road Frame,204.6251,337.22,1,undefined,undefined,undefined,Outdoor Sporting Goods,United States
2011-05-31,7,178.5808,LL Road Frame,204.6251,337.22,1,undefined,undefined,undefined,Petroleum Products Distributors,others
2011-05-31,10,178.5808,LL Road Frame,204.6251,337.22,1,undefined,undefined,undefined,Quick Parts and Service,others
2011-05-31,2,178.5808,LL Road Frame,204.6251,337.22,1,undefined,undefined,undefined,Reliable Brake Systems,United States
2011-05-31,5,178.5808,LL Road Frame,204.6251,337.22,1,undefined,undefined,undefined,The Bicycle Accessories Company,United States
2011-05-31,8,28.8404,Long-Sleeve Logo Jersey,38.4923,49.99,0,undefined,undefined,undefined,Outdoor Sporting Goods,United States
2011-05-31,23,28.8404,Long-Sleeve Logo Jersey,38.4923,49.99,0,undefined,undefined,undefined,Petroleum Products Distributors,others
2011-05-31,17,28.8404,Long-Sleeve Logo Jersey,38.4923,49.99,0,undefined,undefined,undefined,Quick Parts and Service,others
2011-05-31,7,28.8404,Long-Sleeve Logo Jersey,38.4923,49.99,0,undefined,undefined,undefined,Racing Supply Distributors,others
2011-05-31,19,28.8404,Long-Sleeve Logo Jersey,38.4923,49.99,0,undefined,undefined,undefined,Reliable Brake Systems,United States
2011-05-31,2,28.8404,Long-Sleeve Logo Jersey,38.4923,49.99,0,undefined,undefined,undefined,Standard Bikes,others
